1,"Bitcoin","$1,395,965,651,499","$71,368.00","19,707,968","$35,887,864,617","0.71 %",2024-06-05 16:19:49
2,"Ethereum","$455,679,476,252","$3,805.12","120,148,358","$13,240,350,826","0.44 %",2024-06-05 16:19:49
3,"Tether","$112,306,074,646","$1.00","112,316,773,848","$51,148,875,905","-0.06 %",2024-06-05 16:19:49
4,"BNB","$107,824,795,979","$701.85","153,856,150","$2,828,207,801","0.65 %",2024-06-05 16:19:49
5,"Solana","$79,519,255,253","$173.40","459,924,529","$2,399,364,354","15.52 %",2024-06-05 16:19:49
7,"USD Coin","$32,337,836,535","$1.00","32,358,170,269","$5,965,203,858","-0.02 %",2024-06-05 16:19:49
8,"XRP","$29,245,391,756","$0.53","55,450,358,947","$992,636,220","1.41 %",2024-06-05 16:19:49
9,"Dogecoin","$23,537,107,717","$0.16","144,572,076,384","$815,049,201","1.15 %",2024-06-05 16:19:49
11,"Cardano","$16,274,090,177","$0.46","35,393,534,071","$292,079,972","2.12 %",2024-06-05 16:19:49
12,"Shiba Inu","$15,125,327,002","$0.00","589,262,909,794,920","$877,454,718","0.89 %",2024-06-05 16:19:49
13,"Avalanche","$14,166,276,470","$36.27","393,236,279","$366,587,693","3.10 %",2024-06-05 16:19:49
14,"Wrapped Bitcoin","$10,848,548,154","$70,951.00","153,024","$291,347,541","0.71 %",2024-06-05 16:19:49
15,"Chainlink","$10,356,342,672","$17.75","587,099,971","$393,868,263","1.47 %",2024-06-05 16:19:49
16,"TRON","$9,985,837,357","$0.11","87,345,324,124","$275,479,093","0.92 %",2024-06-05 16:19:49
17,"Polkadot","$9,865,185,726","$7.23","1,372,230,857","$180,500,170","0.81 %",2024-06-05 16:19:49
18,"Bitcoin Cash","$9,458,691,025","$480.77","19,715,328","$234,992,885","16.32 %",2024-06-05 16:19:49
19,"Uniswap","$8,254,189,236","$10.95","753,766,667","$877,312,382","1.56 %",2024-06-05 16:19:49
20,"NEAR Protocol","$8,215,893,176","$7.61","1,082,557,522","$332,335,784","-0.57 %",2024-06-05 16:19:49
21,"Polygon","$6,610,362,389","$0.71","9,282,943,566","$232,257,718","1.55 %",2024-06-05 16:19:49
22,"Litecoin","$6,265,132,513","$84.24","74,608,733","$286,906,523","2.73 %",2024-06-05 16:19:49
24,"Internet Computer","$5,700,449,646","$12.34","464,458,298","$79,355,734","-1.66 %",2024-06-05 16:19:49
25,"LEO Token","$5,496,631,631","$5.95","926,270,046","$2,330,194","4.71 %",2024-06-05 16:19:49
28,"Dai","$5,298,257,391","$1.00","5,299,870,315","$308,895,697","-0.03 %",2024-06-05 16:19:49
30,"Ethereum Classic","$4,332,993,844","$29.65","147,394,113","$199,450,988","5.24 %",2024-06-05 16:19:49
34,"Hedera","$3,671,849,496","$0.10","35,749,981,471","$55,559,307","1.28 %",2024-06-05 16:19:49
37,"Cosmos Hub","$3,371,178,849","$8.65","390,688,370","$128,930,359","-2.10 %",2024-06-05 16:19:49
38,"Filecoin","$3,363,333,993","$6.04","559,906,937","$178,306,960","1.64 %",2024-06-05 16:19:49
39,"Stacks","$3,281,888,947","$2.27","1,462,799,929","$244,613,963","-0.74 %",2024-06-05 16:19:49
42,"Cronos","$3,147,320,574","$0.12","26,785,895,128","$16,721,077","-0.40 %",2024-06-05 16:19:49
44,"Stellar","$3,099,089,264","$0.11","29,039,752,099","$51,519,925","0.74 %",2024-06-05 16:19:49
46,"Monero","$3,032,994,040","$165.18","18,445,343","$72,816,445","0.71 %",2024-06-05 16:19:49
47,"OKB","$2,935,241,951","$48.97","60,000,000","$14,349,438","0.12 %",2024-06-05 16:19:49
48,"Arweave","$2,922,622,942","$44.73","65,454,186","$121,986,444","1.61 %",2024-06-05 16:19:49
49,"The Graph","$2,859,390,786","$0.30","9,509,671,265","$83,629,440","0.03 %",2024-06-05 16:19:49
54,"VeChain","$2,572,537,273","$0.04","72,714,516,834","$60,601,251","1.91 %",2024-06-05 16:19:49
55,"Maker","$2,477,636,772","$2,677.32","927,770","$77,244,363","1.55 %",2024-06-05 16:19:49
57,"Fantom","$2,331,574,466","$0.84","2,803,634,836","$168,673,216","1.09 %",2024-06-05 16:19:49
59,"Theta Network","$2,200,130,930","$2.21","1,000,000,000","$23,120,514","-0.03 %",2024-06-05 16:19:49
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2024-06-05 16:19:49
62,"THORChain","$2,090,479,652","$6.25","334,969,555","$238,312,374","2.30 %",2024-06-05 16:19:49
73,"EOS","$1,658,411,257","$0.81","2,060,347,024","$111,857,594","1.47 %",2024-06-05 16:19:49
75,"Algorand","$1,541,619,770","$0.19","8,175,359,251","$37,218,557","0.22 %",2024-06-05 16:19:49
77,"Aave","$1,527,164,237","$103.06","14,845,426","$104,133,744","3.80 %",2024-06-05 16:19:49
80,"Flow","$1,404,367,827","$0.94","1,510,362,347","$28,829,657","0.13 %",2024-06-05 16:19:49
82,"Quant","$1,311,865,288","$90.38","14,544,176","$20,774,530","2.74 %",2024-06-05 16:19:49
